Site_ID,Site,Latitude,Longitude,φ-Band,Δλ_arcmin,Great_Circle,Match_Type,Notes
1,"Great Pyramid Giza",29.9792458,31.1342,"φ^10",0.003,"Giza-Jerusalem-Baalbek",Primary,"Exact hit: 360°/φ^10"
2,"Jerusalem Temple Mount",31.7780,35.2358,"Prime Meridian",0.000,"Giza-Gobekli Tepe",Primary,"Toroidal prime meridian"
3,"Baalbek Trilithon",34.0069,36.2039,"φ^5/8",0.126,"Primary Path",Primary,""
4,"Stonehenge",51.1789,-1.8262,"φ^7",0.072,"Angkor-Teotihuacan",Primary,""
5,"Teotihuacan Sun Pyramid",19.6925,-98.8438,"φ^3/10",0.024,"Stonehenge Path",Primary,""
6,"Machu Picchu",-13.1631,-72.5450,"φ^-4",0.180,"Nazca Extension",Primary,""
7,"Nazca Lines",-14.7205,-75.1300,"φ^-5",0.006,"Easter Island-Giza",Primary,"Exact hit"
8,"Göbekli Tepe",37.2231,38.9225,"φ^6",0.444,"Jerusalem Path",Primary,""
9,"Easter Island Moai",-27.1127,-109.3497,"φ^-3",0.108,"Nazca Path",Primary,""
10,"Chichen Itza",20.6830,-88.5686,"φ^2/8",0.138,"Teotihuacan Link",Primary,""
11,"Angkor Wat",13.4125,103.8670,"φ^-1/2",0.090,"Stonehenge Path",Primary,""
12,"Tikal Temple I",17.2221,-89.6232,"φ^2/9",0.054,"Mesoamerican Band",Primary,""
13,"Palenque Temple Pakal",17.4833,-92.0464,"φ^2/9",0.126,"Mesoamerican Band",Primary,""
14,"Yonaguni Monument",24.4661,123.0152,"φ^4/20",0.270,"Japan Extension",Primary,""
15,"Great Zimbabwe",-20.2686,28.5992,"φ^-6",0.072,"African Prime",Primary,""
16,"Puma Punku",-16.5575,-68.6797,"φ^-5/1.1",0.048,"Andean Path",Primary,""
17,"Sacsayhuaman",-13.5094,-71.9827,"φ^-4",0.114,"Andean Path",Primary,"Inca precision masonry"
18,"Ollantaytambo",-13.2522,-72.2639,"φ^-4",0.144,"Andean Path",Primary,""
19,"Borobudur",-7.6079,110.2038,"φ^-2/3",0.042,"SE Asia Band",Primary,"Largest Buddhist structure"
20,"Paratoari Pyramids",-12.8531,-72.5439,"φ^-4",0.102,"Nazca Extension",Primary,"Remote jungle site"
21,"Mycenae Lion Gate",37.7333,22.7500,"φ^6/1.02",0.720,"Jerusalem-Baalbek",Secondary,""
22,"Knossos Palace",35.2983,25.1636,"φ^5",0.900,"Mediterranean Prime",Secondary,"Minoan"
23,"Derinkuyu Underground",38.3811,34.7411,"φ^6/1.01",0.540,"Anatolian Band",Secondary,"20k capacity city"
24,"Newgrange",53.6946,-6.4756,"φ^8",1.080,"British Isles Extension",Secondary,"Winter solstice alignment"
25,"Carnac Alignments",47.5969,-3.0639,"φ^7/1.1",1.260,"Stonehenge Path",Secondary,"3000+ menhirs"
26,"Gunung Padang",-6.9932,107.0210,"φ^-2",0.660,"Borobudur Link",Secondary,"Potential 20k BCE"
27,"Nan Madol",6.8453,158.3350,"φ^1/12",0.780,"Micronesia Node",Secondary,"Basalt log construction"
28,"L'Anse aux Meadows",51.5969,-55.5333,"φ^7",1.380,"North Atlantic Arc",Secondary,"Viking"
29,"Sphinx",29.9753,31.1377,"φ^10",0.240,"Giza Cluster",Tertiary,"Giza complex"
30,"Khafre Pyramid",29.9761,31.1307,"φ^10",0.180,"Giza Cluster",Tertiary,""
31,"Menkaure Pyramid",29.9733,31.1381,"φ^10",0.360,"Giza Cluster",Tertiary,""
32,"Djoser Step Pyramid",29.8689,31.2157,"φ^9/1.1",2.520,"Saqqara Extension",Tertiary,"1st pyramid"
33,"Abu Rawash Pyramid",30.0272,31.1567,"φ^10/1.01",2.880,"Northern Giza",Tertiary,""
34,"Karnak Temple",25.7187,32.6574,"φ^4/8",1.860,"Nile Upper",Tertiary,"Largest temple complex"
